date,numbers,number of full data,number of train data,start,end,acc,loss,recall,precision,F1_micro,F1_macro,average_acc
2022-11-01 15:38:20.347797,1,500,535,0,500,57.00%,67.42%,57.00%,57.00%,57.00%,56.89%,57.00%
2022-11-01 15:38:25.397452,2,500,535,0,500,64.00%,65.85%,64.00%,64.00%,64.00%,63.99%,60.50%
2022-11-01 15:38:30.290902,3,500,535,0,500,53.00%,67.99%,53.00%,53.00%,53.00%,50.37%,58.00%
2022-11-01 15:38:35.329739,4,500,535,0,500,59.00%,67.58%,59.00%,59.00%,59.00%,58.67%,58.25%
2022-11-01 15:38:40.143036,5,500,535,0,500,55.00%,69.31%,55.00%,55.00%,55.00%,48.72%,57.60%
2022-11-01 15:38:43.713544,6,500,535,0,500,58.00%,67.64%,58.00%,58.00%,58.00%,53.21%,57.67%
2022-11-01 15:38:48.637901,7,500,535,0,500,61.00%,67.07%,61.00%,61.00%,61.00%,59.84%,58.14%
2022-11-01 15:38:53.789284,8,500,535,0,500,59.00%,67.29%,59.00%,59.00%,59.00%,58.30%,58.25%
2022-11-01 15:38:58.652956,9,500,535,0,500,54.00%,68.57%,54.00%,54.00%,54.00%,53.33%,57.78%
2022-11-01 15:39:03.076188,10,500,535,0,500,55.00%,68.64%,55.00%,55.00%,55.00%,52.49%,57.50%
2022-11-01 15:39:14.475467,1,500,548,500,1000,65.00%,66.39%,65.00%,65.00%,65.00%,64.71%,65.00%
2022-11-01 15:39:19.364566,2,500,548,500,1000,61.00%,66.45%,61.00%,61.00%,61.00%,60.96%,63.00%
2022-11-01 15:39:24.589582,3,500,548,500,1000,61.00%,65.41%,61.00%,61.00%,61.00%,60.68%,62.33%
2022-11-01 15:39:29.493331,4,500,548,500,1000,65.00%,66.50%,65.00%,65.00%,65.00%,64.19%,63.00%
2022-11-01 15:39:33.900808,5,500,548,500,1000,62.00%,66.23%,62.00%,62.00%,62.00%,60.42%,62.80%
2022-11-01 15:39:38.873493,6,500,548,500,1000,65.00%,66.29%,65.00%,65.00%,65.00%,64.97%,63.17%
2022-11-01 15:39:44.006041,7,500,548,500,1000,57.00%,66.44%,57.00%,57.00%,57.00%,57.00%,62.29%
2022-11-01 15:39:48.643607,8,500,548,500,1000,60.00%,68.03%,60.00%,60.00%,60.00%,59.86%,62.00%
2022-11-01 15:39:53.116460,9,500,548,500,1000,61.00%,67.76%,61.00%,61.00%,61.00%,58.82%,61.89%
2022-11-01 15:39:58.205556,10,500,548,500,1000,61.00%,64.63%,61.00%,61.00%,61.00%,60.90%,61.80%
2022-11-01 15:40:08.324114,1,500,537,1000,1500,48.00%,70.35%,48.00%,48.00%,48.00%,42.07%,48.00%
2022-11-01 15:40:13.402600,2,500,537,1000,1500,62.00%,64.13%,62.00%,62.00%,62.00%,58.77%,55.00%
2022-11-01 15:40:16.440311,3,500,537,1000,1500,62.00%,66.13%,62.00%,62.00%,62.00%,61.24%,57.33%
2022-11-01 15:40:20.707938,4,500,537,1000,1500,56.00%,68.80%,56.00%,56.00%,56.00%,54.84%,57.00%
2022-11-01 15:40:24.050637,5,500,537,1000,1500,52.00%,69.56%,52.00%,52.00%,52.00%,51.98%,56.00%
2022-11-01 15:40:29.060019,6,500,537,1000,1500,54.00%,67.89%,54.00%,54.00%,54.00%,52.79%,55.67%
2022-11-01 15:40:32.255869,7,500,537,1000,1500,44.00%,77.29%,44.00%,44.00%,44.00%,32.01%,54.00%
2022-11-01 15:40:35.531254,8,500,537,1000,1500,48.00%,69.89%,48.00%,48.00%,48.00%,45.83%,53.25%
2022-11-01 15:40:40.501431,9,500,537,1000,1500,59.00%,67.65%,59.00%,59.00%,59.00%,58.67%,53.89%
2022-11-01 15:40:43.841892,10,500,537,1000,1500,68.00%,66.98%,68.00%,68.00%,68.00%,68.00%,55.30%
2022-11-01 15:40:55.215807,1,500,539,1500,2000,75.00%,63.88%,75.00%,75.00%,75.00%,74.94%,75.00%
2022-11-01 15:41:00.065623,2,500,539,1500,2000,69.00%,63.44%,69.00%,69.00%,69.00%,69.00%,72.00%
2022-11-01 15:41:04.989897,3,500,539,1500,2000,67.00%,64.66%,67.00%,67.00%,67.00%,66.60%,70.33%
2022-11-01 15:41:09.826104,4,500,539,1500,2000,70.00%,64.44%,70.00%,70.00%,70.00%,69.70%,70.25%
2022-11-01 15:41:14.678336,5,500,539,1500,2000,61.00%,63.81%,61.00%,61.00%,61.00%,56.23%,68.40%
2022-11-01 15:41:19.607688,6,500,539,1500,2000,70.00%,62.71%,70.00%,70.00%,70.00%,69.81%,68.67%
2022-11-01 15:41:24.481072,7,500,539,1500,2000,71.00%,62.60%,71.00%,71.00%,71.00%,71.00%,69.00%
2022-11-01 15:41:29.670113,8,500,539,1500,2000,71.00%,63.04%,71.00%,71.00%,71.00%,71.00%,69.25%
2022-11-01 15:41:34.539816,9,500,539,1500,2000,70.00%,61.95%,70.00%,70.00%,70.00%,69.81%,69.33%
2022-11-01 15:41:37.540914,10,500,539,1500,2000,55.00%,68.25%,55.00%,55.00%,55.00%,40.78%,67.90%
2022-11-01 15:41:48.431151,1,500,553,2000,2500,60.00%,66.72%,60.00%,60.00%,60.00%,59.42%,60.00%
2022-11-01 15:41:53.231964,2,500,553,2000,2500,60.00%,66.18%,60.00%,60.00%,60.00%,59.98%,60.00%
2022-11-01 15:41:57.865851,3,500,553,2000,2500,66.00%,63.85%,66.00%,66.00%,66.00%,65.66%,62.00%
2022-11-01 15:42:02.406673,4,500,553,2000,2500,66.00%,62.94%,66.00%,66.00%,66.00%,65.78%,63.00%
2022-11-01 15:42:07.129301,5,500,553,2000,2500,65.00%,63.06%,65.00%,65.00%,65.00%,64.83%,63.40%
2022-11-01 15:42:11.682875,6,500,553,2000,2500,61.00%,65.15%,61.00%,61.00%,61.00%,61.00%,63.00%
2022-11-01 15:42:16.406804,7,500,553,2000,2500,64.00%,65.03%,64.00%,64.00%,64.00%,63.77%,63.14%
2022-11-01 15:42:20.970077,8,500,553,2000,2500,62.00%,64.22%,62.00%,62.00%,62.00%,60.73%,63.00%
2022-11-01 15:42:25.790424,9,500,553,2000,2500,63.00%,62.65%,63.00%,63.00%,63.00%,62.15%,63.00%
2022-11-01 15:42:30.377259,10,500,553,2000,2500,64.00%,64.20%,64.00%,64.00%,64.00%,63.47%,63.10%
2022-11-01 15:42:41.361669,1,500,554,2500,3000,63.00%,64.52%,63.00%,63.00%,63.00%,61.61%,63.00%
2022-11-01 15:42:46.279333,2,500,554,2500,3000,70.00%,61.34%,70.00%,70.00%,70.00%,69.21%,66.50%
2022-11-01 15:42:51.002574,3,500,554,2500,3000,70.00%,60.09%,70.00%,70.00%,70.00%,69.89%,67.67%
2022-11-01 15:42:55.841458,4,500,554,2500,3000,67.00%,64.89%,67.00%,67.00%,67.00%,64.41%,67.50%
2022-11-01 15:43:00.683179,5,500,554,2500,3000,68.00%,61.96%,68.00%,68.00%,68.00%,67.68%,67.60%
2022-11-01 15:43:05.644814,6,500,554,2500,3000,63.00%,61.52%,63.00%,63.00%,63.00%,62.15%,66.83%
2022-11-01 15:43:10.453224,7,500,554,2500,3000,64.00%,62.92%,64.00%,64.00%,64.00%,62.17%,66.43%
2022-11-01 15:43:15.114640,8,500,554,2500,3000,68.00%,61.37%,68.00%,68.00%,68.00%,67.99%,66.62%
2022-11-01 15:43:20.042650,9,500,554,2500,3000,66.00%,61.57%,66.00%,66.00%,66.00%,65.11%,66.56%
2022-11-01 15:43:24.768066,10,500,554,2500,3000,69.00%,61.33%,69.00%,69.00%,69.00%,69.00%,66.80%
2022-11-01 15:43:34.817692,1,500,532,3000,3500,60.00%,66.27%,60.00%,60.00%,60.00%,58.66%,60.00%
2022-11-01 15:43:39.595642,2,500,532,3000,3500,68.00%,63.99%,68.00%,68.00%,68.00%,67.53%,64.00%
2022-11-01 15:43:44.612346,3,500,532,3000,3500,63.00%,65.30%,63.00%,63.00%,63.00%,62.15%,63.67%
2022-11-01 15:43:48.579060,4,500,532,3000,3500,43.00%,75.83%,43.00%,43.00%,43.00%,30.07%,58.50%
2022-11-01 15:43:53.533860,5,500,532,3000,3500,69.00%,62.71%,69.00%,69.00%,69.00%,68.92%,60.60%
2022-11-01 15:43:58.260570,6,500,532,3000,3500,66.00%,64.94%,66.00%,66.00%,66.00%,64.86%,61.50%
2022-11-01 15:44:01.573036,7,500,532,3000,3500,44.00%,73.51%,44.00%,44.00%,44.00%,32.01%,59.00%
2022-11-01 15:44:06.462947,8,500,532,3000,3500,72.00%,60.04%,72.00%,72.00%,72.00%,71.96%,60.63%
2022-11-01 15:44:11.167495,9,500,532,3000,3500,65.00%,64.15%,65.00%,65.00%,65.00%,64.40%,61.11%
2022-11-01 15:44:16.095620,10,500,532,3000,3500,66.00%,64.29%,66.00%,66.00%,66.00%,65.66%,61.60%
2022-11-01 15:44:27.161549,1,500,545,3500,4000,71.00%,62.25%,71.00%,71.00%,71.00%,69.66%,71.00%
2022-11-01 15:44:32.112793,2,500,545,3500,4000,71.00%,59.85%,71.00%,71.00%,71.00%,70.93%,71.00%
2022-11-01 15:44:35.733769,3,500,545,3500,4000,56.00%,68.96%,56.00%,56.00%,56.00%,46.58%,66.00%
2022-11-01 15:44:40.455212,4,500,545,3500,4000,61.00%,67.01%,61.00%,61.00%,61.00%,58.40%,64.75%
2022-11-01 15:44:45.452769,5,500,545,3500,4000,65.00%,62.70%,65.00%,65.00%,65.00%,65.00%,64.80%
2022-11-01 15:44:50.286899,6,500,545,3500,4000,67.00%,62.87%,67.00%,67.00%,67.00%,66.97%,65.17%
2022-11-01 15:44:55.234801,7,500,545,3500,4000,61.00%,63.21%,61.00%,61.00%,61.00%,60.81%,64.57%
2022-11-01 15:45:00.043877,8,500,545,3500,4000,63.00%,63.96%,63.00%,63.00%,63.00%,62.70%,64.37%
2022-11-01 15:45:05.005202,9,500,545,3500,4000,66.00%,63.02%,66.00%,66.00%,66.00%,64.86%,64.56%
2022-11-01 15:45:09.772492,10,500,545,3500,4000,61.00%,64.53%,61.00%,61.00%,61.00%,60.90%,64.20%
2022-11-01 15:45:21.052831,1,500,528,4000,4500,49.00%,70.23%,49.00%,49.00%,49.00%,44.99%,49.00%
2022-11-01 15:45:25.866853,2,500,528,4000,4500,64.00%,63.90%,64.00%,64.00%,64.00%,63.77%,56.50%
2022-11-01 15:45:30.615376,3,500,528,4000,4500,54.00%,68.84%,54.00%,54.00%,54.00%,49.45%,55.67%
2022-11-01 15:45:35.582184,4,500,528,4000,4500,62.00%,64.94%,62.00%,62.00%,62.00%,62.00%,57.25%
2022-11-01 15:45:40.363625,5,500,528,4000,4500,64.00%,64.76%,64.00%,64.00%,64.00%,63.64%,58.60%
2022-11-01 15:45:45.367594,6,500,528,4000,4500,61.00%,66.04%,61.00%,61.00%,61.00%,58.82%,59.00%
2022-11-01 15:45:50.116339,7,500,528,4000,4500,65.00%,64.89%,65.00%,65.00%,65.00%,64.97%,59.86%
2022-11-01 15:45:55.009104,8,500,528,4000,4500,72.00%,63.15%,72.00%,72.00%,72.00%,69.62%,61.38%
2022-11-01 15:45:59.917357,9,500,528,4000,4500,73.00%,64.64%,73.00%,73.00%,73.00%,70.13%,62.67%
2022-11-01 15:46:04.705664,10,500,528,4000,4500,56.00%,66.99%,56.00%,56.00%,56.00%,53.76%,62.00%
2022-11-01 15:46:16.104959,1,500,545,4500,5000,58.00%,66.17%,58.00%,58.00%,58.00%,56.90%,58.00%
2022-11-01 15:46:20.958449,2,500,545,4500,5000,61.00%,67.49%,61.00%,61.00%,61.00%,59.20%,59.50%
2022-11-01 15:46:25.921812,3,500,545,4500,5000,59.00%,67.15%,59.00%,59.00%,59.00%,53.99%,59.33%
2022-11-01 15:46:30.655140,4,500,545,4500,5000,63.00%,66.58%,63.00%,63.00%,63.00%,59.60%,60.25%
2022-11-01 15:46:35.612126,5,500,545,4500,5000,59.00%,68.47%,59.00%,59.00%,59.00%,56.71%,60.00%
2022-11-01 15:46:40.392803,6,500,545,4500,5000,59.00%,67.76%,59.00%,59.00%,59.00%,58.50%,59.83%
2022-11-01 15:46:45.452631,7,500,545,4500,5000,59.00%,66.81%,59.00%,59.00%,59.00%,55.24%,59.71%
2022-11-01 15:46:50.282305,8,500,545,4500,5000,56.00%,69.76%,56.00%,56.00%,56.00%,55.84%,59.25%
2022-11-01 15:46:55.187073,9,500,545,4500,5000,56.00%,66.31%,56.00%,56.00%,56.00%,55.56%,58.89%
2022-11-01 15:47:00.128648,10,500,545,4500,5000,59.00%,64.75%,59.00%,59.00%,59.00%,58.30%,58.90%
2022-11-01 15:47:11.205891,1,500,543,5000,5500,59.00%,65.76%,59.00%,59.00%,59.00%,58.90%,59.00%
2022-11-01 15:47:16.173568,2,500,543,5000,5500,67.00%,65.14%,67.00%,67.00%,67.00%,66.92%,63.00%
2022-11-01 15:47:20.951405,3,500,543,5000,5500,63.00%,63.10%,63.00%,63.00%,63.00%,62.97%,63.00%
2022-11-01 15:47:24.459718,4,500,543,5000,5500,60.00%,66.66%,60.00%,60.00%,60.00%,57.10%,62.25%
2022-11-01 15:47:29.192788,5,500,543,5000,5500,63.00%,64.79%,63.00%,63.00%,63.00%,62.82%,62.40%
2022-11-01 15:47:34.108397,6,500,543,5000,5500,64.00%,63.70%,64.00%,64.00%,64.00%,63.94%,62.67%
2022-11-01 15:47:38.034664,7,500,543,5000,5500,56.00%,68.09%,56.00%,56.00%,56.00%,55.56%,61.71%
2022-11-01 15:47:41.134410,8,500,543,5000,5500,59.00%,68.31%,59.00%,59.00%,59.00%,58.50%,61.37%
2022-11-01 15:47:46.062275,9,500,543,5000,5500,60.00%,63.32%,60.00%,60.00%,60.00%,59.86%,61.22%
2022-11-01 15:47:49.654042,10,500,543,5000,5500,55.00%,68.32%,55.00%,55.00%,55.00%,54.45%,60.60%
2022-11-01 15:48:00.938073,1,500,524,5500,6000,62.00%,66.40%,62.00%,62.00%,62.00%,61.94%,62.00%
2022-11-01 15:48:05.783827,2,500,524,5500,6000,60.00%,65.01%,60.00%,60.00%,60.00%,60.00%,61.00%
2022-11-01 15:48:10.743872,3,500,524,5500,6000,59.00%,66.81%,59.00%,59.00%,59.00%,58.96%,60.33%
2022-11-01 15:48:15.689722,4,500,524,5500,6000,63.00%,64.43%,63.00%,63.00%,63.00%,62.82%,61.00%
2022-11-01 15:48:20.761799,5,500,524,5500,6000,60.00%,67.53%,60.00%,60.00%,60.00%,57.10%,60.80%
2022-11-01 15:48:25.596388,6,500,524,5500,6000,62.00%,65.98%,62.00%,62.00%,62.00%,61.76%,61.00%
2022-11-01 15:48:30.498121,7,500,524,5500,6000,59.00%,65.71%,59.00%,59.00%,59.00%,58.67%,60.71%
2022-11-01 15:48:35.705238,8,500,524,5500,6000,62.00%,65.17%,62.00%,62.00%,62.00%,61.98%,60.88%
2022-11-01 15:48:40.503688,9,500,524,5500,6000,61.00%,65.60%,61.00%,61.00%,61.00%,59.54%,60.89%
2022-11-01 15:48:45.530037,10,500,524,5500,6000,67.00%,62.68%,67.00%,67.00%,67.00%,66.97%,61.50%
2022-11-01 15:48:56.535309,1,500,533,6000,6500,56.00%,66.23%,56.00%,56.00%,56.00%,55.84%,56.00%
2022-11-01 15:49:01.411128,2,500,533,6000,6500,48.00%,68.52%,48.00%,48.00%,48.00%,47.47%,52.00%
2022-11-01 15:49:06.078698,3,500,533,6000,6500,57.00%,66.18%,57.00%,57.00%,57.00%,56.47%,53.67%
2022-11-01 15:49:10.779184,4,500,533,6000,6500,47.00%,67.80%,47.00%,47.00%,47.00%,44.55%,52.00%
2022-11-01 15:49:15.591738,5,500,533,6000,6500,55.00%,64.78%,55.00%,55.00%,55.00%,54.96%,52.60%
2022-11-01 15:49:20.259491,6,500,533,6000,6500,53.00%,68.17%,53.00%,53.00%,53.00%,52.77%,52.67%
2022-11-01 15:49:25.132889,7,500,533,6000,6500,55.00%,65.34%,55.00%,55.00%,55.00%,54.96%,53.00%
2022-11-01 15:49:29.845469,8,500,533,6000,6500,50.00%,68.25%,50.00%,50.00%,50.00%,48.33%,52.62%
2022-11-01 15:49:34.646069,9,500,533,6000,6500,53.00%,67.50%,53.00%,53.00%,53.00%,52.42%,52.67%
2022-11-01 15:49:39.386876,10,500,533,6000,6500,51.00%,68.50%,51.00%,51.00%,51.00%,50.88%,52.50%
2022-11-01 15:49:50.291546,1,500,541,6500,7000,60.00%,63.67%,60.00%,60.00%,60.00%,57.56%,60.00%
2022-11-01 15:49:55.077625,2,500,541,6500,7000,60.00%,67.94%,60.00%,60.00%,60.00%,59.98%,60.00%
2022-11-01 15:49:59.650570,3,500,541,6500,7000,63.00%,65.13%,63.00%,63.00%,63.00%,60.09%,61.00%
2022-11-01 15:50:04.481346,4,500,541,6500,7000,62.00%,65.89%,62.00%,62.00%,62.00%,60.73%,61.25%
2022-11-01 15:50:09.076111,5,500,541,6500,7000,66.00%,63.96%,66.00%,66.00%,66.00%,64.58%,62.20%
2022-11-01 15:50:13.955346,6,500,541,6500,7000,65.00%,64.27%,65.00%,65.00%,65.00%,60.72%,62.67%
2022-11-01 15:50:18.633909,7,500,541,6500,7000,62.00%,62.58%,62.00%,62.00%,62.00%,60.42%,62.57%
2022-11-01 15:50:23.290061,8,500,541,6500,7000,58.00%,67.08%,58.00%,58.00%,58.00%,57.39%,62.00%
2022-11-01 15:50:28.160612,9,500,541,6500,7000,60.00%,65.60%,60.00%,60.00%,60.00%,59.94%,61.78%
2022-11-01 15:50:33.069754,10,500,541,6500,7000,59.00%,65.00%,59.00%,59.00%,59.00%,57.78%,61.50%
2022-11-01 15:50:44.244083,1,500,530,7000,7500,56.00%,67.93%,56.00%,56.00%,56.00%,53.76%,56.00%
2022-11-01 15:50:48.832777,2,500,530,7000,7500,59.00%,69.28%,59.00%,59.00%,59.00%,58.50%,57.50%
2022-11-01 15:50:53.645684,3,500,530,7000,7500,51.00%,69.04%,51.00%,51.00%,51.00%,47.73%,55.33%
2022-11-01 15:50:58.168000,4,500,530,7000,7500,61.00%,66.48%,61.00%,61.00%,61.00%,60.68%,56.75%
2022-11-01 15:51:03.003516,5,500,530,7000,7500,54.00%,70.14%,54.00%,54.00%,54.00%,51.19%,56.20%
2022-11-01 15:51:07.622235,6,500,530,7000,7500,56.00%,68.43%,56.00%,56.00%,56.00%,56.00%,56.17%
2022-11-01 15:51:12.206812,7,500,530,7000,7500,50.00%,69.04%,50.00%,50.00%,50.00%,44.30%,55.29%
2022-11-01 15:51:17.054151,8,500,530,7000,7500,61.00%,68.51%,61.00%,61.00%,61.00%,60.90%,56.00%
2022-11-01 15:51:21.750169,9,500,530,7000,7500,50.00%,68.57%,50.00%,50.00%,50.00%,48.33%,55.33%
2022-11-01 15:51:26.551513,10,500,530,7000,7500,55.00%,67.45%,55.00%,55.00%,55.00%,54.23%,55.30%
2022-11-01 15:51:37.721032,1,500,547,7500,8000,63.00%,64.79%,63.00%,63.00%,63.00%,63.00%,63.00%
2022-11-01 15:51:42.695249,2,500,547,7500,8000,65.00%,65.70%,65.00%,65.00%,65.00%,64.71%,64.00%
2022-11-01 15:51:45.378283,3,500,547,7500,8000,53.00%,67.89%,53.00%,53.00%,53.00%,52.88%,60.33%
2022-11-01 15:51:49.666809,4,500,547,7500,8000,65.00%,65.60%,65.00%,65.00%,65.00%,64.40%,61.50%
2022-11-01 15:51:54.186352,5,500,547,7500,8000,48.00%,68.16%,48.00%,48.00%,48.00%,39.22%,58.80%
2022-11-01 15:51:58.985961,6,500,547,7500,8000,60.00%,67.24%,60.00%,60.00%,60.00%,57.10%,59.00%
2022-11-01 15:52:03.343409,7,500,547,7500,8000,57.00%,68.67%,57.00%,57.00%,57.00%,54.13%,58.71%
2022-11-01 15:52:08.186559,8,500,547,7500,8000,56.00%,66.71%,56.00%,56.00%,56.00%,55.56%,58.37%
2022-11-01 15:52:13.175039,9,500,547,7500,8000,56.00%,67.95%,56.00%,56.00%,56.00%,53.76%,58.11%
2022-11-01 15:52:17.666796,10,500,547,7500,8000,49.00%,69.26%,49.00%,49.00%,49.00%,37.43%,57.20%
2022-11-01 15:52:28.673248,1,500,546,8000,8500,70.00%,62.88%,70.00%,70.00%,70.00%,70.00%,70.00%
2022-11-01 15:52:33.724757,2,500,546,8000,8500,73.00%,63.46%,73.00%,73.00%,73.00%,73.00%,71.50%
2022-11-01 15:52:38.596531,3,500,546,8000,8500,64.00%,63.62%,64.00%,64.00%,64.00%,63.28%,69.00%
2022-11-01 15:52:42.139733,4,500,546,8000,8500,64.00%,66.01%,64.00%,64.00%,64.00%,63.87%,67.75%
2022-11-01 15:52:45.623337,5,500,546,8000,8500,47.00%,71.00%,47.00%,47.00%,47.00%,34.98%,63.60%
2022-11-01 15:52:50.708856,6,500,546,8000,8500,63.00%,64.25%,63.00%,63.00%,63.00%,62.91%,63.50%
2022-11-01 15:52:53.784702,7,500,546,8000,8500,59.00%,67.43%,59.00%,59.00%,59.00%,57.46%,62.86%
2022-11-01 15:52:56.956990,8,500,546,8000,8500,50.00%,69.88%,50.00%,50.00%,50.00%,44.30%,61.25%
2022-11-01 15:53:02.009621,9,500,546,8000,8500,68.00%,62.57%,68.00%,68.00%,68.00%,67.79%,62.00%
2022-11-01 15:53:06.914316,10,500,546,8000,8500,68.00%,61.71%,68.00%,68.00%,68.00%,67.95%,62.60%
2022-11-01 15:53:18.207224,1,500,542,8500,9000,62.00%,66.98%,62.00%,62.00%,62.00%,61.44%,62.00%
2022-11-01 15:53:21.470887,2,500,542,8500,9000,52.00%,71.12%,52.00%,52.00%,52.00%,42.86%,57.00%
2022-11-01 15:53:26.420468,3,500,542,8500,9000,56.00%,68.53%,56.00%,56.00%,56.00%,54.53%,56.67%
2022-11-01 15:53:31.216511,4,500,542,8500,9000,54.00%,69.36%,54.00%,54.00%,54.00%,51.19%,56.00%
2022-11-01 15:53:36.219439,5,500,542,8500,9000,60.00%,67.12%,60.00%,60.00%,60.00%,59.94%,56.80%
2022-11-01 15:53:41.046435,6,500,542,8500,9000,57.00%,66.35%,57.00%,57.00%,57.00%,55.72%,56.83%
2022-11-01 15:53:45.833418,7,500,542,8500,9000,58.00%,66.79%,58.00%,58.00%,58.00%,57.16%,57.00%
2022-11-01 15:53:50.869860,8,500,542,8500,9000,56.00%,68.61%,56.00%,56.00%,56.00%,53.76%,56.88%
2022-11-01 15:53:55.683816,9,500,542,8500,9000,57.00%,66.08%,57.00%,57.00%,57.00%,56.79%,56.89%
2022-11-01 15:54:00.730786,10,500,542,8500,9000,57.00%,67.93%,57.00%,57.00%,57.00%,56.96%,56.90%
2022-11-01 15:54:11.769360,1,500,539,9000,9500,54.00%,66.11%,54.00%,54.00%,54.00%,53.70%,54.00%
2022-11-01 15:54:16.582686,2,500,539,9000,9500,59.00%,68.08%,59.00%,59.00%,59.00%,58.67%,56.50%
2022-11-01 15:54:21.283657,3,500,539,9000,9500,60.00%,67.12%,60.00%,60.00%,60.00%,59.42%,57.67%
2022-11-01 15:54:25.930007,4,500,539,9000,9500,61.00%,66.81%,61.00%,61.00%,61.00%,60.10%,58.50%
2022-11-01 15:54:30.764560,5,500,539,9000,9500,58.00%,69.32%,58.00%,58.00%,58.00%,53.21%,58.40%
2022-11-01 15:54:35.399151,6,500,539,9000,9500,64.00%,65.59%,64.00%,64.00%,64.00%,63.94%,59.33%
2022-11-01 15:54:40.232817,7,500,539,9000,9500,55.00%,67.66%,55.00%,55.00%,55.00%,53.66%,58.71%
2022-11-01 15:54:44.961871,8,500,539,9000,9500,59.00%,68.17%,59.00%,59.00%,59.00%,57.11%,58.75%
2022-11-01 15:54:49.782092,9,500,539,9000,9500,60.00%,66.62%,60.00%,60.00%,60.00%,57.97%,58.89%
2022-11-01 15:54:54.446314,10,500,539,9000,9500,63.00%,64.60%,63.00%,63.00%,63.00%,62.36%,59.30%
2022-11-01 15:55:03.839852,1,500,543,9500,10000,54.00%,68.64%,54.00%,54.00%,54.00%,46.24%,54.00%
2022-11-01 15:55:07.695569,2,500,543,9500,10000,55.00%,66.72%,55.00%,55.00%,55.00%,43.57%,54.50%
2022-11-01 15:55:12.276838,3,500,543,9500,10000,53.00%,68.38%,53.00%,53.00%,53.00%,52.88%,54.00%
2022-11-01 15:55:17.062422,4,500,543,9500,10000,59.00%,67.11%,59.00%,59.00%,59.00%,58.96%,55.25%
2022-11-01 15:55:20.648065,5,500,543,9500,10000,53.00%,66.56%,53.00%,53.00%,53.00%,51.60%,54.80%
2022-11-01 15:55:25.473373,6,500,543,9500,10000,65.00%,64.80%,65.00%,65.00%,65.00%,64.97%,56.50%
2022-11-01 15:55:28.857834,7,500,543,9500,10000,60.00%,67.47%,60.00%,60.00%,60.00%,54.04%,57.00%
2022-11-01 15:55:33.041915,8,500,543,9500,10000,63.00%,64.52%,63.00%,63.00%,63.00%,61.90%,57.75%
2022-11-01 15:55:37.775241,9,500,543,9500,10000,61.00%,67.22%,61.00%,61.00%,61.00%,60.90%,58.11%
2022-11-01 15:55:40.966400,10,500,543,9500,10000,59.00%,66.68%,59.00%,59.00%,59.00%,58.67%,58.20%
2022-11-01 15:55:52.284016,1,500,539,10000,10500,67.00%,66.35%,67.00%,67.00%,67.00%,66.02%,67.00%
2022-11-01 15:55:56.878413,2,500,539,10000,10500,62.00%,65.27%,62.00%,62.00%,62.00%,61.94%,64.50%
2022-11-01 15:56:01.821039,3,500,539,10000,10500,63.00%,64.39%,63.00%,63.00%,63.00%,62.55%,64.00%
2022-11-01 15:56:06.586911,4,500,539,10000,10500,59.00%,66.57%,59.00%,59.00%,59.00%,58.67%,62.75%
2022-11-01 15:56:10.295141,5,500,539,10000,10500,51.00%,69.39%,51.00%,51.00%,51.00%,38.56%,60.40%
2022-11-01 15:56:15.213739,6,500,539,10000,10500,61.00%,65.85%,61.00%,61.00%,61.00%,60.90%,60.50%
2022-11-01 15:56:20.054497,7,500,539,10000,10500,55.00%,66.04%,55.00%,55.00%,55.00%,54.89%,59.71%
2022-11-01 15:56:22.933878,8,500,539,10000,10500,57.00%,67.34%,57.00%,57.00%,57.00%,51.00%,59.38%
2022-11-01 15:56:27.740661,9,500,539,10000,10500,66.00%,64.82%,66.00%,66.00%,66.00%,65.88%,60.11%
2022-11-01 15:56:32.736692,10,500,539,10000,10500,59.00%,65.13%,59.00%,59.00%,59.00%,58.96%,60.00%
2022-11-01 15:56:43.886395,1,500,541,10500,11000,67.00%,65.10%,67.00%,67.00%,67.00%,66.02%,67.00%
2022-11-01 15:56:48.936247,2,500,541,10500,11000,68.00%,61.92%,68.00%,68.00%,68.00%,66.93%,67.50%
2022-11-01 15:56:53.744497,3,500,541,10500,11000,56.00%,67.62%,56.00%,56.00%,56.00%,55.36%,63.67%
2022-11-01 15:56:58.643946,4,500,541,10500,11000,65.00%,65.06%,65.00%,65.00%,65.00%,64.71%,64.00%
2022-11-01 15:57:03.754283,5,500,541,10500,11000,65.00%,63.66%,65.00%,65.00%,65.00%,63.96%,64.20%
2022-11-01 15:57:08.597359,6,500,541,10500,11000,62.00%,64.85%,62.00%,62.00%,62.00%,61.76%,63.83%
2022-11-01 15:57:12.101750,7,500,541,10500,11000,53.00%,68.43%,53.00%,53.00%,53.00%,34.64%,62.29%
2022-11-01 15:57:16.918624,8,500,541,10500,11000,63.00%,66.24%,63.00%,63.00%,63.00%,62.70%,62.37%
2022-11-01 15:57:21.926681,9,500,541,10500,11000,66.00%,64.29%,66.00%,66.00%,66.00%,63.92%,62.78%
2022-11-01 15:57:26.843112,10,500,541,10500,11000,68.00%,63.76%,68.00%,68.00%,68.00%,67.88%,63.30%
2022-11-01 15:57:37.912892,1,500,536,11000,11500,60.00%,65.16%,60.00%,60.00%,60.00%,51.43%,60.00%
